Name,Party,State,District,Start,Twitter
Lori Chavez-DeRemer,Republican Party,Oregon,5,2023-01-03,RepLCD
Andrea Salinas,Democratic Party,Oregon,6,2023-01-03,RepSalinas
Brian Fitzpatrick,Republican Party,Pennsylvania,1,2019-01-03,RepBrianFitz
Brendan Boyle,Democratic Party,Pennsylvania,2,2019-01-03,CongBoyle
Dwight Evans,Democratic Party,Pennsylvania,3,2019-01-03,RepDwightEvans
Madeleine Dean,Democratic Party,Pennsylvania,4,2019-01-03,RepDean
Mary Gay Scanlon,Democratic Party,Pennsylvania,5,2019-01-03,RepMGS
Chrissy Houlahan,Democratic Party,Pennsylvania,6,2019-01-03,RepHoulahan
Susan Wild,Democratic Party,Pennsylvania,7,2019-01-03,RepSusanWild
Matt Cartwright,Democratic Party,Pennsylvania,8,2019-01-03,RepCartwright
Dan Meuser,Republican Party,Pennsylvania,9,2019-01-03,RepMeuser
Scott Perry,Republican Party,Pennsylvania,10,2019-01-03,RepScottPerry
Lloyd Smucker,Republican Party,Pennsylvania,11,2019-01-03,RepSmucker
Summer Lee,Democratic Party,Pennsylvania,12,2023-01-03,RepSummerLee
John Joyce,Republican Party,Pennsylvania,13,2019-01-03,RepJohnJoyce
Guy Reschenthaler,Republican Party,Pennsylvania,14,2019-01-03,GReschenthaler
Glenn Thompson,Republican Party,Pennsylvania,15,2019-01-03,CongressmanGT
Mike Kelly,Republican Party,Pennsylvania,16,2019-01-03,MikeKellyPA
Christopher Deluzio,Democratic Party,Pennsylvania,17,2023-01-03,RepDeluzio
David N. Cicilline,Democratic Party,Rhode Island,1,2011-01-03,RepCicilline
Seth Magaziner,Democratic Party,Rhode Island,2,2023-01-03,Rep_Magaziner
Nancy Mace,Republican Party,South Carolina,1,2021-01-03,RepNancyMace
Joe Wilson,Republican Party,South Carolina,2,2001-01-03,RepJoeWilson
Jeff Duncan,Republican Party,South Carolina,3,2011-01-03,RepJeffDuncan
William Timmons,Republican Party,South Carolina,4,2019-01-03,RepTimmons
Ralph Norman,Republican Party,South Carolina,5,2017-06-26,RepRalphNorman
James Clyburn,Democratic Party,South Carolina,6,1993-01-03,RepJamesClyburn
Russell Fry,Republican Party,South Carolina,7,2023-01-03,RepRussellFry
Dusty Johnson,Republican Party,South Dakota,1,2019-01-03,RepDustyJohnson
Diana Harshbarger,Republican Party,Tennessee,1,2021-01-03,RepHarshbarger
Tim Burchett,Republican Party,Tennessee,2,2019-01-03,RepTimBurchett
Charles J. Fleischmann,Republican Party,Tennessee,3,2011-01-03,RepChuck
Scott DesJarlais,Republican Party,Tennessee,4,2011-01-03,DesJarlaisTN04
